Camiseta Básico Algodão,39.90,120,https://exemplo.com/img/camiseta-basica.jpg
Fone de Ouvido Bluetooth,149.90,50,https://exemplo.com/img/fone-bluetooth.jpg
Caneca de Cerâmica Branca,24.90,200,https://exemplo.com/img/caneca-branca.jpg
Calça Jeans Masculina,119.90,80,https://exemplo.com/img/calca-jeans.jpg
Mochila Impermeável,189.50,30,https://exemplo.com/img/mochila-impermeavel.jpg
Mouse Sem Fio Ergonômico,59.90,150,https://exemplo.com/img/mouse-sem-fio.jpg
Garrafa Térmica Inox,45.00,75,https://exemplo.com/img/garrafa-termica.jpg
Tênis Esportivo Running,299.90,40,https://exemplo.com/img/tenis-running.jpg
Teclado Mecânico Gamer,250.00,25,https://exemplo.com/img/teclado-gamer.jpg
Luminária de Mesa LED,89.90,60,https://exemplo.com/img/luminaria-led.jpg
Relógio Digital Smart,199.90,45,https://exemplo.com/img/smartwatch.jpg
Jaqueta Corta-Vento,159.90,35,https://exemplo.com/img/jaqueta-corta-vento.jpg
Kit Potes de Vidro Hermético,79.90,90,https://exemplo.com/img/kit-potes.jpg
Cabo USB-C Reforçado,19.90,300,https://exemplo.com/img/cabo-usbc.jpg
Almofada Decorativa Cinza,35.50,55,https://exemplo.com/img/almofada-cinza.jpg
Bermuda Moletom Confort,49.90,100,https://exemplo.com/img/bermuda-moletom.jpg
Carregador Portátil 10000mAh,99.90,70,https://exemplo.com/img/powerbank.jpg
Toalha de Banho Gigante,42.00,110,https://exemplo.com/img/toalha-banho.jpg
Frigideira Antiaderente 24cm,65.00,40,https://exemplo.com/img/frigideira.jpg
Kit Meias Cano Alto (3 pares),29.90,150,https://exemplo.com/img/meias-kit.jpg
Óculos de Sol Polarizado,129.90,20,https://exemplo.com/img/oculos-sol.jpg
Suporte para Notebook Alumínio,75.00,45,https://exemplo.com/img/suporte-notebook.jpg
Tapete para Sala Geométrico,180.00,15,https://exemplo.com/img/tapete-sala.jpg
Boné Aba Curva Preto,34.90,85,https://exemplo.com/img/bone-preto.jpg
Caderno Capa Dura 200 fls,15.90,200,https://exemplo.com/img/caderno-capa-dura.jpg